Aarav: Google, Microsoft, Amazon, Apple, Adobe
Vivaan: Amazon, Flipkart, Swiggy, Facebook, Microsoft
Aditya: Google, Amazon, Microsoft, Facebook, Apple
Krishna: Netflix, Google, Amazon, Apple, Adobe
Reyansh: Flipkart, Swiggy, Amazon, Microsoft, Facebook
Arjun: Microsoft, Amazon, Apple, Flipkart, Google
Kabir: Amazon, Google, Microsoft, Adobe, Netflix
Dhruv: Facebook, Flipkart, Google, Amazon, Swiggy
Rudra: Flipkart, Swiggy, Amazon, Google, Microsoft
Yuvan: Google, Amazon, Netflix, Apple, Facebook
Ishaan: Microsoft, Facebook, Apple, Adobe, Amazon
Shaurya: Swiggy, Flipkart, Amazon, Microsoft, Facebook
Veer: Netflix, Google, Microsoft, Amazon, Adobe
Ayaan: Google, Apple, Amazon, Microsoft, Netflix
Parth: Flipkart, Swiggy, Amazon, Adobe, Google
Arnav: Salesforce, Adobe, Microsoft, Amazon, Facebook
Atharv: Google, Microsoft, Netflix, Amazon, Adobe
Anay: Swiggy, Flipkart, Amazon, Microsoft, Facebook
Vihaan: Flipkart, Amazon, Google, Microsoft, Apple
Devansh: Google, Facebook, Amazon, Microsoft, Apple
